episode,step,state,action,next_state,reward,done
1,1,0,1,0,0.0,0.0
1,2,0,2,1,0.0,0.0
1,3,1,3,1,0.0,0.0
1,4,1,0,0,0.0,0.0
1,5,0,2,1,0.0,0.0
1,6,1,2,2,0.0,0.0
1,7,2,1,6,0.0,0.0
1,8,6,0,10,0.0,0.0
1,9,10,1,9,0.0,0.0
1,10,9,2,13,0.0,0.0
1,11,13,1,14,0.0,0.0
1,12,14,0,10,0.0,0.0
1,13,10,2,11,0.0,1.0
2,1,0,1,4,0.0,0.0
2,2,4,0,4,0.0,0.0
2,3,4,3,5,0.0,1.0
3,1,0,1,0,0.0,0.0
3,2,0,0,0,0.0,0.0
3,3,0,1,4,0.0,0.0
3,4,4,3,4,0.0,0.0
3,5,4,2,5,0.0,1.0
4,1,0,1,0,0.0,0.0
4,2,0,3,0,0.0,0.0
4,3,0,2,4,0.0,0.0
4,4,4,1,5,0.0,1.0
5,1,0,1,4,0.0,0.0
5,2,4,1,4,0.0,0.0
5,3,4,1,8,0.0,0.0
5,4,8,0,8,0.0,0.0
5,5,8,0,4,0.0,0.0
5,6,4,1,4,0.0,0.0
5,7,4,0,4,0.0,0.0
5,8,4,0,0,0.0,0.0
5,9,0,1,0,0.0,0.0
5,10,0,0,4,0.0,0.0
5,11,4,2,0,0.0,0.0
5,12,0,1,1,0.0,0.0
5,13,1,2,2,0.0,0.0
5,14,2,3,1,0.0,0.0
5,15,1,3,2,0.0,0.0
5,16,2,1,3,0.0,0.0
5,17,3,0,3,0.0,0.0
5,18,3,1,3,0.0,0.0
5,19,3,1,7,0.0,1.0
