episode,step,s_x,s_y,action,reward,next_s_x,next_s_y,done
0,0,0,3,0,-1,0,2,0
0,1,0,2,0,-1,0,1,0
0,2,0,1,0,-1,0,0,0
0,3,0,0,0,-1,0,0,0
0,4,0,0,1,-1,0,1,0
0,5,0,1,3,-1,1,1,0
0,6,1,1,0,-1,1,0,0
0,7,1,0,0,-1,1,0,0
0,8,1,0,1,-1,1,1,0
0,9,1,1,1,-1,1,2,0
0,10,1,2,0,-1,1,1,0
0,11,1,1,2,-1,0,1,0
0,12,0,1,1,-1,0,2,0
0,13,0,2,1,-1,0,3,0
0,14,0,3,1,-1,0,3,0
0,15,0,3,2,-1,0,3,0
0,16,0,3,3,-1,1,3,0
0,17,1,3,0,-1,1,2,0
0,18,1,2,1,-1,1,3,0
0,19,1,3,1,-1,1,3,0
0,20,1,3,2,-1,0,3,0
0,21,0,3,0,-1,0,2,0
0,22,0,2,2,-1,0,2,0
0,23,0,2,3,-1,1,2,0
0,24,1,2,2,-1,0,2,0
0,25,0,2,0,-1,0,1,0
0,26,0,1,2,-1,0,1,0
0,27,0,1,0,-1,0,0,0
0,28,0,0,2,-1,0,0,0
0,29,0,0,3,-1,1,0,0
0,30,1,0,2,-1,0,0,0
0,31,0,0,0,-1,0,0,0
0,32,0,0,1,-1,0,1,0
0,33,0,1,1,-1,0,2,0
0,34,0,2,1,-1,0,3,0
0,35,0,3,1,-1,0,3,0
0,36,0,3,2,-1,0,3,0
0,37,0,3,3,-1,1,3,0
0,38,1,3,3,-1,1,3,0
0,39,1,3,0,-1,1,2,0
0,40,1,2,3,-1,1,2,0
0,41,1,2,0,-1,1,1,0
0,42,1,1,3,-1,1,1,0
0,43,1,1,3,-1,1,1,0
0,44,1,1,0,-1,1,0,0
0,45,1,0,3,-1,2,0,0
0,46,2,0,0,-1,2,0,0
0,47,2,0,1,-1,2,0,0
0,48,2,0,2,-1,1,0,0
0,49,1,0,0,-1,1,0,0
1,0,0,3,0,-1,0,2,0
1,1,0,2,2,-1,0,2,0
1,2,0,2,3,-1,1,2,0
1,3,1,2,1,-1,1,3,0
1,4,1,3,1,-1,1,3,0
1,5,1,3,3,-1,1,3,0
1,6,1,3,2,-1,0,3,0
1,7,0,3,3,-1,1,3,0
1,8,1,3,0,-1,1,2,0
1,9,1,2,3,-1,1,2,0
1,10,1,2,2,-1,0,2,0
1,11,0,2,0,-1,0,1,0
1,12,0,1,3,-1,1,1,0
1,13,1,1,1,-1,1,2,0
1,14,1,2,0,-1,1,1,0
1,15,1,1,2,-1,0,1,0
