step,reward,done
0,4.778405396224993,False
1,4.817900718335124,False
2,4.790303294780966,False
3,4.764606416173942,False
4,4.788774891231885,False
5,4.782602376695169,False
6,4.817051144523925,False
7,4.807918861715775,False
8,4.743086392088387,False
9,-0.0332552664054937,False
10,3.9500081983600683,False
11,5.177708039993865,False
12,5.175172631002401,False
13,5.1889042192864085,False
14,5.197728235226547,False
15,5.237206782370877,False
16,5.228255235916121,False
17,5.21875847525047,False
18,0.18144690151892534,True
