episode,state,action,reward,next_state,done
1,63,2,-1.0,83,False
1,83,2,-1.0,83,False
1,83,5,-10.0,83,False
1,83,2,-1.0,83,False
1,83,1,-1.0,83,False
1,83,2,-1.0,83,False
1,83,4,-10.0,83,False
1,83,2,-1.0,83,False
1,83,5,-10.0,83,False
1,83,2,-1.0,83,False
1,83,2,-1.0,83,False
1,83,2,-1.0,83,False
1,83,1,-1.0,83,False
1,83,3,-1.0,63,False
1,63,5,-10.0,63,False
1,63,2,-1.0,83,False
1,83,0,-1.0,183,False
1,183,4,-10.0,183,False
1,183,2,-1.0,183,False
1,183,0,-1.0,283,False
2,63,0,-1.0,163,False
2,163,4,-10.0,163,False
2,163,2,-1.0,183,False
2,183,0,-1.0,283,False
2,283,3,-1.0,263,False
2,263,0,-1.0,363,False
2,363,1,-1.0,263,False
2,263,0,-1.0,363,False
2,363,0,-1.0,463,False
2,463,1,-1.0,363,False
2,363,0,-1.0,463,False
2,463,0,-1.0,463,False
2,463,0,-1.0,463,False
2,463,0,-1.0,463,False
2,463,0,-1.0,463,False
2,463,5,-10.0,463,False
2,463,1,-1.0,363,False
2,363,0,-1.0,463,False
2,463,0,-1.0,463,False
2,463,0,-1.0,463,False
