TOTAL_SECONDS,53.7012
EPISODE,DELTA_SECONDS,REWARD,LR
1,0.000000,75.194683,0.00100000
2,1.220372,86.024226,0.00100000
3,1.244807,92.638536,0.00100000
4,1.390116,160.481704,0.00100000
5,1.229089,114.560271,0.00100000
6,1.149019,75.220846,0.00100000
7,1.221577,78.824349,0.00100000
8,1.559608,124.465212,0.00100000
9,1.329908,78.617308,0.00100000
10,1.842364,92.306789,0.00100000
11,19.449013,946.174281,0.00100000
12,15.893169,265.912850,0.00100000
DELTA_EP9,1.3299080999568105
DELTA_EP10,1.8423640000401065
RATIO_EP10_OVER_EP9,1.385332
